id,label,type,summary
Character:Varin Lume,Varin Lume,Character,"Calm, relentless keeper of records"
Character:Thorik Gravelbrow,Thorik Gravelbrow,Character,"Stoic, stubborn, curious about runes"
Character:Arielle Skydancer,Arielle Skydancer,Character,"Wary, swift, loyal"
Character:Noctar Vesper,Noctar Vesper,Character,"Shadowy, patient, treacherous"
Character:Lyra Quill,Lyra Quill,Character,"Curious, meticulous"
Character:Brakus Ironjaw,Brakus Ironjaw,Character,"Direct, ambitious"
Character:Anya Stonehand,Anya Stonehand,Character,Stern. Pragmatic.
Character:Lysandra,Lysandra,Character,Wise. Aloof.
Character:Kaelen,Kaelen,Character,Greedy. Ruthless.
Character:Elara Meadowlight,Elara Meadowlight,Character,Gentle. Protective.
Character:Torvin,Torvin,Character,Shrewd. Persuasive.
Character:Zaltar,Zaltar,Character,Fanatical. Deceptive.
Character:Kael Vorn,Kael Vorn,Character,"Bitter, precise, secretly hoards stolen years"
Character:Syln,Syln,Character,"Ruthless, laughs at drowning enemies"
Character:Grandcarver Oth,Grandcarver Oth,Character,"Patient, unbending, speaks only truth"
Character:Null,Null,Character,"Curious, mimics emotions poorly"
Character:Verra Cinder,Verra Cinder,Character,"Desperate, paranoid, seeking immortality"
Character:Brek-of-Three-Depths,Brek-of-Three-Depths,Character,"Melancholy, creates living statues"
Location:Lumeris,Lumeris,Location,"Glass-spired city with luminous canals, bustling traders"
Location:Whispering Forest,Whispering Forest,Location,"Murmuring trees hide hidden glades, secrets rustle"
Location:Cinder Spire,Cinder Spire,Location,"Furnace-heart range, forges and iron veins"
Location:Sea of Glass,Sea of Glass,Location,Tide of mirrored surface; haunted ships drift
Location:Silverpeak Mountains,Silverpeak Mountains,Location,Rich in ore. Home of dwarves.
Location:Eldrin Forest,Eldrin Forest,Location,Ancient trees. Sylvan home.
Location:Aethelburg,Aethelburg,Location,Capital. Center of trade.
Location:Void Rift,Void Rift,Location,Site of magic corruption.
Location:Threnod,Threnod,Location,"Ash-choked capital, perpetual gray, pyramids of dead, smoke vents everywhere"
Location:The Sour Deeps,The Sour Deeps,Location,"Acid ocean, no fish live, only driftkin ships float, corrosive fog"
Location:Oth-Mora,Oth-Mora,Location,"Veinrock judicial city, carved in prime granite, silence enforced by law"
Location:Last Ember Ruin,Last Ember Ruin,Location,"Crater of year zero, glassed sand, reality thin, ghosts of pre-ash mages"
Faction:The Gilded Conclave,The Gilded Conclave,Faction,Control rare aetheric resources and trade routes
Faction:Veil of Ash,Veil of Ash,Faction,Protect forbidden knowledge; keep it from surface
Faction:Order of the Echo,Order of the Echo,Faction,Preserve balance of memory and time; manage echoes of past
Faction:Iron Cartel,Iron Cartel,Faction,"Centralize power in industry, rail lines, mines"
Faction:Order of the Celestial Gate,Order of the Celestial Gate,Faction,Control magic. Protect world.
Faction:Ironclad Guild,Ironclad Guild,Faction,Control metal trade. Secure profit.
Faction:Whispering Shadows,Whispering Shadows,Faction,Overthrow authority. Chaos reign.
Faction:Emerald Circle,Emerald Circle,Faction,Preserve forests. Stop expansion.
Faction:Cinder Tribunal,Cinder Tribunal,Faction,"Regulate all magic use, execute unlicensed casters"
Faction:The Unwritten,The Unwritten,Faction,"Collect pre-Ashfall knowledge, restore lost spells"
Faction:Driftkin Concord,Driftkin Concord,Faction,"Control sea trade routes, sink land-dweller ships"
Faction:Stone Oath,Stone Oath,Faction,"Preserve Veinrock law across all borders, punish oathbreakers"
Item:Aetheric Catalyst,Aetheric Catalyst,Item,Amplifies aetherbind casting by one tier; drains a memory per use
Item:Hammer of Gravos,Hammer of Gravos,Item,Shoots living iron slivers; anchors earth fissures; requires ore from no moon
Item:Gloom Serum,Gloom Serum,Item,Temporary veil of night; shadow-step once per day; drains vitality
Item:Celestial Shard,Celestial Shard,Item,Amplifies magic. Drains life.
Item:Dwarven Hammer,Dwarven Hammer,Item,Unbreakable. Forges powerful items.
Item:Shadow Cloak,Shadow Cloak,Item,Grants invisibility. Feeds on fear.
Item:The Debt Ledger,The Debt Ledger,Item,"Records all soul-costs spent within 1 league, can transfer unpaid costs to named target"
Item:Hollow Needle,Hollow Needle,Item,"Strikes bypass all magic defenses, wounds cannot be healed by magic"
Item:Stillborn Hourglass,Stillborn Hourglass,Item,"Freezes time for 1 hour for all but user, costs 10 years per use"
Event:Echo Vault Sundering,Echo Vault Sundering,Event,Vaults containing memory and aether erupt; surface magic tilts toward nocturnal powers
Event:Iron Cartel Ascendancy,Iron Cartel Ascendancy,Event,Railways and mines centralized power; Stonebound clans coerced into works
Event:Lumeris Coup,Lumeris Coup,Event,Gilded Conclave seizes city governance from old duke; court protests become street fire
Event:Noctar Eclipse,Noctar Eclipse,Event,Noctar dream-smiths weave visions; aether storms wash over coastlines
Event:The Great Schism,The Great Schism,Event,Order split. Factions fight.
Event:Dwarven Uprising,Dwarven Uprising,Event,Dwarves challenge control.
Event:Void Incursion,Void Incursion,Event,Voidspawn attack Aethelburg.
Event:Establishment Emerald Circle,Establishment Emerald Circle,Event,Sylvans form protect forest.
Event:The Collapse,The Collapse,Event,"Last Ember Citadel mages burned collective centuries attempting immortality ritual, ignited ashfall"
Event:The Pact of Weights,The Pact of Weights,Event,"Veinrock and Driftkin agree sea borders measured in stone dropped, not leagues sailed"
Event:Null Night,Null Night,Event,"Hollow assassin kills three Tribunal inquisitors, proves soul-less immune to magic law"
Event:The Stillbirth,The Stillbirth,Event,"Chronomancer creates hourglass, dies, artifact seized by Tribunal"
WorldRule:Aetherbind Cost,Aetherbind Cost,WorldRule,Magic drains memory or vitality; higher power bigger cost; attunement caps at tier 3
WorldRule:Memory Anchors,Memory Anchors,WorldRule,All spells need anchor sites; without anchors magic risks tearing reality
WorldRule:Seismic Consequence,Seismic Consequence,WorldRule,Earth magic use causes tremors affecting nearby structures; scale with power
WorldRule:Trade of Silence,Trade of Silence,WorldRule,Knowledge exchange controlled; revealing certain truths to rivals requires price
WorldRule:Magic Restriction,Magic Restriction,WorldRule,Magic use controlled. Order enforces.
WorldRule:Guild Monopoly,Guild Monopoly,WorldRule,Guild has ore trade control.
WorldRule:Forest Law,Forest Law,WorldRule,Harm forest banned. Sylvans decide.
WorldRule:Celestial Mandate,Celestial Mandate,WorldRule,Honor Celestial Gate. Prevent void.
WorldRule:Conservation of Soul,Conservation of Soul,WorldRule,"Magic cannot create or destroy soul-stuff, only move or consume it"
WorldRule:Ashfall Persistence,Ashfall Persistence,WorldRule,"Sky ash never settles fully, respawns from Last Ember Ruin weekly"
WorldRule:Stone Truth,Stone Truth,WorldRule,"Veinrock cannot utter falsehood, pain strikes if attempted"
WorldRule:Hollow Exclusion,Hollow Exclusion,WorldRule,"Gods (if exist) do not see Hollow, cannot bless or curse them"
Race:Aetherkin,Aetherkin,Race,"Luminous, wind-sculpted, memory-readers"
Race:Stonebound,Stonebound,Race,"Stone-forged, sturdy, rune-carriers"
Race:Sylphari,Sylphari,Race,"Winged, air-woven, tempers of wind"
Race:Noctar,Noctar,Race,"Shadow-touched, dream-walkers"
Race:Humans,Humans,Race,Adaptable. Short-lived.
Race:Elves,Elves,Race,Long-lived. Magic-resistant.
Race:Dwarves,Dwarves,Race,Strong. Earth affinity.
Race:Sylvans,Sylvans,Race,Nature connection. Empathy.
Race:Ashborn,Ashborn,Race,"Pallid skin, ash-filter lungs, short-lived (40 years), immune to smoke toxins"
Race:Driftkin,Driftkin,Race,"Translucent eyes, hollow bones, weigh half normal, cannot sink in water"
Race:Veinrock,Veinrock,Race,"Stone-flesh hybrid, grow mineral outcroppings, move slow, live centuries"
Race:Hollow,Hollow,Race,"No reflection, no shadow, born without souls (cannot use magic), immune to soul-costs"
